SITE;ZONE;REF;LINHA;LAST USER MODIFIED STATUS;:ABL STATUS DESCRIPTION;ABL %;:SFLEX;:FLEXSTAT;:NUMA1;:PCLINUM;Fluxograma;:DESIGN;:PDATDRWG;:HOLD;:NOTE1;:NOTE2;:NOTE3;:NOTE4;:NOTE5;:NOTE6;:NOTE7;REV ATUAL;:DESIGNED
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134241799/38485;/3123.SIL.0001-24-GNL-15H20;Not Controlled;Not Controlled;Not Controlled;--;--;A1-XXX-YYY-ZZZ;;D714-0011XXYX;XXX;XX/XX/03;;;;;;;;;0;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134258183/9796;/3123.TDC.0001-1/2-LCR-30H41;gabriel.souza;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-5966;3123.T.ISO.0884;3123.P.FLX.0001_2/5 ;GOS;04/11/20;unset;unset;unset;unset;unset;unset;unset;;0;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134241799/35749;/3123-CAP-0004-T-3-15H28-DRAIN;felipe.lucchesi;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-5922;3123.T.ISO.0840;3123.P.FLX.0001_3/5;FL;26/10/20;unset;unset;unset;unset;unset;unset;unset;;0;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134241799/35759;/3123-CAP-0005-T-3-15H28-DRAIN;felipe.lucchesi;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-5923;3123.T.ISO.0841;3123.P.FLX.0001_4/5;FL;26/10/20;unset;unset;unset;unset;unset;unset;unset;;0;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134258183/8624;/3123-CAP-0007-T-3-15H28-DRAIN-CANCELADO;felipe.lucchesi;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-5937;3123.T.ISO.0855;3123.P.FLX.0001_4/5 ;FL;06/11/20;unset;unset;unset;unset;unset;unset;unset;;0;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134241799/38292;/3123.CAP.0003-3-15H28-DRAIN;Not Controlled;Not Controlled;Not Controlled;--;--;A1-XXX-YYY-ZZZ;unset;3123.P.FLX.0001_4/5 ;RDHM;11/11/20;unset;unset;unset;unset;unset;unset;unset;;0;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134241799/35616;/3123-FTR-0001A-T-1/2-30H21-DRAIN-CANCELADO;felipe.lucchesi;Existing pipe;100;--;--;BLP-2121-120-M-ISO-5918;3123.T.ISO.0836;3123.P.FLX.0001_4/5;FL;08/09/20;unset;unset;unset;unset;unset;unset;unset;;1;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134241799/35623;/3123-FTR-0001B-T-1/2-30H21-DRAIN-CANCELADO;felipe.lucchesi;Existing pipe;100;--;--;BLP-2121-120-M-ISO-5919;3123.T.ISO.0837;3123.P.FLX.0001_4/5;FL;08/09/20;unset;unset;unset;unset;unset;unset;unset;;1;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134241799/35624;/3123-FTR-0002A-T-1/2-30H21-DRAIN-CANCELADO;felipe.lucchesi;Existing pipe;100;--;--;BLP-2121-120-M-ISO-5920;3123.T.ISO.0838;3123.P.FLX.0001_4/5;FL;08/09/20;unset;unset;unset;unset;unset;unset;unset;;1;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134241799/35625;/3123-FTR-0002B-T-1/2-30H21-DRAIN-CANCELADO;felipe.lucchesi;Existing pipe;100;--;--;BLP-2121-120-M-ISO-5921;3123.T.ISO.0839;3123.P.FLX.0001_4/5;FL;08/09/20;unset;unset;unset;unset;unset;unset;unset;;1;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134266375/4391;/3120-LC-5003-1/2-15H20;luis.nascimento;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-3643;3120.T.ISO.0462;3120.P.FLX.0001_10/15;LCN;27/11/20;unset;unset;unset;unset;unset;unset;unset;;0;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134266375/4382;/3120-LC-5003-3-15H20;luis.nascimento;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-3644;3120.T.ISO.0463;3120.P.FLX.0001_10/15;LCN;27/11/20;unset;unset;unset;unset;unset;unset;unset;OK - SEM PENDENCIA;0;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134266375/4374;/3120-AE-5004-3-15H20;luis.nascimento;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-3645;3120.T.ISO.0464;3120.P.FLX.0001_10/15;LCN;27/11/20;unset;unset;unset;unset;unset;unset;unset;;0;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134266375/4366;/3120-AE-5002-3-15H20;luis.nascimento;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-3646;3120.T.ISO.0465;3120.P.FLX.0001_10/15;LCN;27/11/20;unset;unset;unset;unset;unset;unset;unset;;0;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134274567/3546;/3123.TCV.0001-INST-LT-1053;Not Controlled;Not Controlled;Not Controlled;--;--;A1-XXX-YYY-ZZZ;;D714-0011XXYX;XXX;XX/XX/03;;;;;;;;;0;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134249991/12762;/3123.TCV.0001-16-30H41-SUPORTE;wander.braganca;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-4283;3123.T.ISO.0806;D714-0011XXYX;GOS;22/06/20;unset;unset;unset;unset;unset;unset;unset;;0;
/024-071_PIPE_COOKING_2A;/024-071_DRENOS-VENTS-INSTR;=134241799/28159;/3123-LCR-0036-T-1-30H41;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-3750;3123.T.ISO.0273;3123.P.FLX.0001_1/5;APL;27/10/20;unset;unset;3123-PSV-1-1002;unset;unset;unset;unset;;1;
